"id","nom","prenom","classe","date_naissance","adresse","sexe"
1,Durand,Marie,1,2015-01-01 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
2,Alesi,Julie,1,2014-01-07 23:00:00.000,"72 av. Jean Dupont 75003 Paris",FEMME
3,Martini,Carine,5,2008-01-16 23:00:00.000,"2 rue du Moulin 92230 Neullavy",FEMME
4,Varola,Sophie,5,2009-01-20 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
5,Labiche,Lelou,5,2009-01-20 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
6,Dujardin,Anne,5,2008-02-02 23:00:00.000,"67 rue des Jardins 91800 Brunoy",FEMME
7,Laventure,Martine,5,2009-02-14 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
8,Livradu,Alice,5,2008-02-17 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
9,Veronicci,Cerise,5,2008-02-29 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
10,Baladini,Mathilde,5,2009-03-11 23:00:00.000,"15 rue du Lac 75001 Paris",FEMME
11,Michelet,Jean,2,2013-04-07 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
12,Dupond,Pierre,2,2013-04-08 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
13,Timberot,Martin,3,2011-04-13 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
14,Gravatas,Paul,3,2011-04-14 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
15,De La Grange,Luc,5,2008-04-15 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
16,Millot,Bertrand,5,2009-04-19 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
17,Herbert,Franck,4,2008-04-24 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
18,Dupontel,Sylvain,4,2008-05-01 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
19,Avati,Tom,4,2008-05-29 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
20,Lidar,Thierry,2,2013-06-01 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
21,Mo,Francis,2,2013-06-02 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
22,Obino,Alex,2,2013-06-07 22:00:00.000,"2 rue Jean Paul 92340 Vallodo",HOMME
23,Martin,Julien,3,2010-06-08 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
24,Balado,Arnaud,3,2011-06-12 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
25,Falafav,Cedric,3,2010-06-16 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
26,Dominicci,Adrien,4,2009-06-24 22:00:00.000,"32 rue des Fleurs 75018 Paris",HOMME
27,Julives,Fabien,4,2008-06-29 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
28,Loribo,Paul,4,2008-07-03 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
29,Allen,Pierre,4,2008-07-13 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
30,Renaldino,Yann,4,2008-07-14 22:00:00.000,"43 rue du Temps 75015 Paris",HOMME
31,Margalev,Vincent,4,2008-07-30 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
32,Roidunor,Denis,4,2008-07-31 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
33,Tong,Hing,4,2008-08-01 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
34,Du Chemin,Ludovic,3,2009-08-11 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
35,Denali,Daniel,3,2010-08-21 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
36,Maccimo,Marcel,3,2010-08-22 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
37,Formi,Alexandre,3,2010-09-02 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
38,Malengo,Tom,3,2010-10-03 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
39,Legrand,Jean-Batiste,3,2010-10-04 22:00:00.000,"14 rue des Souris 93100 Saint-Denis",HOMME
40,Lebeau,Olivier,3,2010-10-06 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
41,Hariford,John,2,2010-10-07 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
42,Lessetaire,Hanibal,2,2012-10-11 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
43,Dupont,Albert,2,2011-10-12 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
44,Burmi,Nestor,2,2012-10-19 22:00:00.000,"15 rue du Lac 75001 Paris",HOMME
45,Foredecafay,Felix,2,2012-10-20 22:00:00.000,"23 av. du Ciel 75014 Paris",HOMME
46,Lepetit,Nicolas,2,2011-11-03 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
47,Daudet,Alphonse,2,2012-11-17 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
48,Valegin,Jean,1,2014-11-27 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
49,Eto,Gabin,1,2015-11-17 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
50,Fivolini,Kevin,1,2015-12-05 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
51,Laferme,Martin,1,2015-12-06 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
52,Dupuis,Vincent,1,2015-12-14 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
53,Lagrange,Alexandre,1,2014-12-27 23:00:00.000,"15 rue du Lac 75001 Paris",HOMME
